dataset,columna,min,p25,mediana,p75,max,limite_iqr_inferior,limite_iqr_superior,n_atipicos_iqr,pct_atipicos_iqr
youtube_videos,view_count,2,215.0,1175.0,7465.0,8190449,-10660.0,18340.0,49,16.72
youtube_comments,reply_count,0,0.0,0.0,0.0,7,0.0,0.0,30,7.39
