metrica,valor
video mas comentado (%),39.7
top 3 videos (%),63.1
top 5 videos (%),75.4
canal con mas comentarios (%),63.1
top 3 canales (%),86.5
gini comentarios por video (de los 19 con comentarios),0.66
gini vistas por video (293 videos),0.949
